#	 	Team	            MP	W	D	L	F	A	D	P
1       Barrow	            37	21	7	9	68	39	+29	70	LWDWL	
2		Harrogate Town	    37	19	9	9	61	44	+17	66	DWWWD	
3		Notts County	    38	17	12	9	61	38	+23	63	WWWWL	
4		Yeovil Town	        37	17	9	11	61	44	+17	60	WWLLD	
5		Boreham Wood	    37	16	12	9	55	40	+15	60	WDDLW	
6	    Halifax Town	    37	17	7	13	50	49	+1	58	LLWLW	
7	    Stockport County    39	16	10	13	51	54	-3	58	WDWDW	
8	    Solihull Moors	    38	15	10	13	48	37	+11	55	DLWLW	
9	    Hartlepool United	39	14	13	12	56	50	+6	55	DLWDW	
10      Woking	            38	15	10	13	50	55	-5	55	LWWDD	
11	    Barnet	            35	14	12	9	52	42	+10	54	WDDWL	
12	    Dover Athletic	    38	15	9	14	49	49	+0	54	DLLWL	
13	    Bromley	            38	14	10	14	57	52	+5	52	DLLLD	
14	    Sutton United	    38	12	14	12	47	42	+5	50	DWLWD	
15	    Torquay United	    36	14	6	16	56	61	-5	48	LWWLD	
16		Aldershot Town	    39	12	10	17	43	55	-12	46	LLLWW	
17		Eastleigh	        37	11	13	13	43	55	-12	46	LDWLD	
18	    Dagenham & Redâ€¦	    37	11	11	15	40	44	-4	44	LWLWD	
19	    Chesterfield	    38	11	11	16	55	65	-10	44	DWLWW	
20	    Wrexham	            37	11	10	16	46	49	-3	43	DLWLD	
21	    Ebbsfleet United	39	10	12	17	47	68	-21	42	WWLWL	
22	    Maidenhead United	38	12	5	21	44	58	-14	41	LLLLL	
23		Fylde	            37	9	12	16	44	60	-16	39	WWDLL	
24		Chorley	            38	4	14	20	31	65	-34	26  LLLLL